ref,sku_bw,designation,machines_db,machines_hub,present_hub,fournisseur,ref_fournisseur,prix_catalogue
BW-0291,oui,ELV 2 in 6 - out 8,(non renseigne),BAR2 Double; BAR2 Touchless,oui,Blupura,150551,47.5
BW-0292,oui,BAR2 - Volumetric counter,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,150388,49
BW-0293,oui,BAR2 - Transformator,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,150016,39
BW-0294,oui,BAR2 - Touch free push buttons,(non renseigne),BAR2 Touchless,oui,Blupura,810620,95
BW-0295,oui,BAR2 - Drip tray,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,750309,90
BW-0296,oui,PRO2 front panel white,PRO2 white,PRO2,oui,Borg&Overström,120801,41
BW-0297,oui,PRO2 Upper front panel,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,120803,41
BW-0298,oui,PRO2 110V/240V Main board,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,171260,83
BW-0299,oui,PRO2 LED Display PCB,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,171264,56
BW-0300,oui,PRO2 Touch dispense screen PCB,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,171265,56
BW-0301,oui,PRO2 Power adapter 230V/24VDC 1.5A (Type A),PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,174391,40
BW-0302,oui,PRO2 chilled - ambient - sparkling touch screen control panel,PRO2 black; PRO2 white,PRO2,oui,Borg&Overström,191005,199
BW-0342,oui,AQTiV ONE - Drip tray grid,AQTiV ONE,AQTiV ONE,oui,Superinox,?,AS*
BW-0343,oui,Fixation set AQTiV ONE,AQTiV ONE,AQTiV ONE,oui,Superinox,?,AS*
BW-0344,oui,Fixation set AQTiV COMBI,AQTiV COMBI; AQTiV COMBI H,AQTiV COMBI,oui,Superinox,?,AS*
BW-0345,oui,Gearbox,AQTiV COMBI; AQTiV COMBI H; AQTiV ONE,AQTiV COMBI; AQTiV ONE,oui,Superinox,R040044S-022,AS*
BW-0346,oui,Gearbox nozzle,AQTiV COMBI; AQTiV COMBI H; AQTiV ONE,AQTiV COMBI; AQTiV ONE,oui,Superinox,?,AS*
BW-0347,oui,Gearbox aerator,AQTiV COMBI; AQTiV COMBI H; AQTiV ONE,AQTiV COMBI; AQTiV ONE,oui,Superinox,?,AS*
BW-0348,oui,NBR O-ring,AQTiV COMBI; AQTiV COMBI H,AQTiV COMBI,oui,Neoperl,55121110000,AS*
BW-0349,oui,Honeycomb plastic aerator with O-ring,AQTiV COMBI; AQTiV COMBI H,AQTiV COMBI,oui,Superinox,R014010S-000,AS*
BW-0366,oui,PCB Control board 30E - B,BOX 30E,BOX 30E,oui,Borg&Overström,720260,169
BW-0367,oui,BAR2 – Button switch,BAR2 Double portion control,BAR2 Double,oui,Blupura,810439,AS*
BW-0368,oui,BAR2 – Counter gasket,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,140564,AS*
BW-0369,oui,BAR2 – Fixing plate,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,111012,AS*
BW-0370,oui,BAR2 – Fixing nut 1 ½” G,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,130200,AS*
BW-0371,oui,BAR2 – Power cable EU,BAR2 Double portion control,BAR2 Double,oui,Blupura,150074,AS*
BW-0372,oui,BAR2 - Driptray drain connection,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,140366,AS*
BW-0373,oui,BAR2 – Front glass,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,140816,AS*
BW-0374,oui,BAR2 – Bottle guides,BAR2 Double portion control; BAR2 touchless,BAR2 Double; BAR2 Touchless,oui,Blupura,110375,AS*
