ref,sku_bw,designation,machines_db,machines_hub,present_hub,fournisseur,ref_fournisseur,prix_catalogue
BW-1016,oui,Power supply cord (unit standard equipment),(absent de la base),BOX 20; BOX 80 I; BOX 120 I,oui,,,
BW-1017,oui,Carbonator sensor/probe cable,(absent de la base),BOX 20,oui,,,
BW-1018,oui,"Aluminium anti-condensation tape, H75",(absent de la base),BOX 20,oui,,,
BW-1019,oui,"Anti-vibration pad, compressor",(absent de la base),BOX 20; BOX 80 I; BOX 120 I,oui,,,
BW-1020,oui,"Foot, black 8mm",(absent de la base),BOX 20,oui,,,
BW-1021,oui,"Sheet metal 8/10 (0.8mm), black, 1250x2195",(absent de la base),BOX 20,oui,,,
BW-1022,oui,"Filter drier, complete",(absent de la base),BOX 20,oui,,,
BW-1023,oui,Brazed charging valve,(absent de la base),BOX 20; BOX 80 I; BOX 120 I,oui,,,
BW-1024,oui,Packaging - cap,(absent de la base),BOX 20,oui,,,
BW-1025,oui,Condenser,(absent de la base),BOX 80 I,oui,,,
BW-1026,oui,Fan 119x119x38,(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-1027,oui,Motor Sisme Plus,(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-1028,oui,Pump 150 L/h,(absent de la base),BOX 80 I,oui,,,
BW-1029,oui,"Filter drier, complete",(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-1030,oui,Carbonator,(absent de la base),BOX 80 I,oui,,,
BW-1031,oui,Agitator / stirrer MIR B 4L,(absent de la base),BOX 120 I,oui,,,
BW-1032,oui,Agitator / stirrer MIR A,(absent de la base),BOX 80 I,oui,,,
BW-1033,oui,Agitator bracket,(absent de la base),BOX 80 I,oui,,,
BW-1034,oui,Electronic-board bracket,(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-1035,oui,Thermostat Ranco K50-H2005/001,(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-1036,oui,"Tank, complete",(absent de la base),BOX 80 I,oui,,,
BW-1037,oui,Stainless-steel base,(absent de la base),BOX 80 I,oui,,,
BW-1038,oui,Stainless-steel top cover / lid,(absent de la base),BOX 80 I,oui,,,
BW-1039,oui,"Stainless-steel side panel, right",(absent de la base),BOX 80 I,oui,,,
BW-1040,oui,"Stainless-steel side panel, left",(absent de la base),BOX 80 I,oui,,,
BW-1041,oui,Motor bracket,(absent de la base),BOX 80 I,oui,,,
BW-1042,oui,Wiring harness,(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-1043,oui,"Evaporator, complete",(absent de la base),BOX 80 I,oui,,,
BW-1044,oui,Earth / ground wiring harness,(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-1045,oui,"Cooling coil, complete",(absent de la base),BOX 80 I,oui,,,
BW-1046,oui,Coil spacer,(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-1047,oui,Square threaded insert,(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-1048,oui,"Earth / ground rivet, 4-way",(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-1049,oui,Time-delay fuse 5 A,(absent de la base),BOX 80 I,oui,,,
BW-1050,oui,Illuminated double-pole switch I/O,(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-1051,oui,"Rubber foot Ø30, steel M6x1",(absent de la base),BOX 80 I; BOX 120 I,oui,,,
BW-1052,oui,Condenser,(absent de la base),BOX 120 I,oui,,,
BW-1053,oui,Pump 200 L/h,(absent de la base),BOX 120 I,oui,,,
BW-1054,oui,Carbonator,(absent de la base),BOX 120 I,oui,,,
BW-1055,oui,Agitator bracket,(absent de la base),BOX 120 I,oui,,,
BW-1056,oui,Electronic control board - LIV-IBM6,(absent de la base),BOX 120 I,oui,,,
BW-1057,oui,"Tank, complete",(absent de la base),BOX 120 I,oui,,,
BW-1058,oui,Stainless-steel base,(absent de la base),BOX 120 I,oui,,,
BW-1059,oui,Stainless-steel top cover / lid,(absent de la base),BOX 120 I,oui,,,
BW-1060,oui,"Stainless-steel side panel, right",(absent de la base),BOX 120 I,oui,,,
BW-1061,oui,"Stainless-steel side panel, left",(absent de la base),BOX 120 I,oui,,,
BW-1062,oui,Motor bracket,(absent de la base),BOX 120 I,oui,,,
BW-1063,oui,"Evaporator, complete",(absent de la base),BOX 120 I,oui,,,
BW-1064,oui,"Cooling coil, complete",(absent de la base),BOX 120 I,oui,,,
BW-1065,oui,Rubber cable grommet Ø23,(absent de la base),BOX 120 I,oui,,,
BW-1066,oui,Time-delay fuse 10 A,(absent de la base),BOX 120 I,oui,,,
BW-1067,oui,Reopenable cable tie (for panel hole),(absent de la base),BOX 120 I,oui,,,
BW-1068,oui,Carb level probe,BOX 30; BOX 30E,BOX 30E; BOX 30,oui,Borg&Overström,701157,AS*
BW-1069,oui,Temp probe,BOX 30; BOX 30E,BOX 30E; BOX 30,oui,Borg&Overström,720023,AS*
BW-1070,oui,U2 Tap Twin Port 285 mm Mounting Gasket 35 mm,BAR1,BAR1,oui,Borg&Overström,604022,AS*
BW-1071,oui,RECIRCULATION PUMP 230V,BOX 80,BOX 80,oui,Blupura,810327,AS*
BW-1072,oui,Stainless-steel tank,(absent de la base),BOX 20,oui,,,
BW-1073,oui,Axial fan 120x120x25,(absent de la base),BOX 20,oui,,,
