n,zone,section,groupe,document,ligne_index_html,equivalent_hub,detail_equivalent,langue,url
6,Bibliothèque,Installation,Systèmes,AQTiV Tower,1550,OUI,fiche portail « AQTiV TOWER »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAdJEOzbUbrSqPpEpfHn5k4AVoHQ9tqVCcBjYYVsTSkmZM?e=Sj7XIX
7,Bibliothèque,Installation,Systèmes,BOX 20 — Home,1551,OUI,fiche portail « BOX 20 - HOME »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBH-mWqrH13RoCHeYgFy7QZAUdiH4l6pMtlNF3vFDtta4k?e=Zy0XjT
7,Bibliothèque,Installation,Systèmes,BOX 20 — Home,1551,OUI,fiche portail « BOX 20 - HOME »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAl9TjpH3Y6Tqwv5IQKqPP5AVWQN5NhFSpJOd6LBYz3TRI?e=3NUH8r
7,Bibliothèque,Installation,Systèmes,BOX 20 — Home,1551,OUI,fiche portail « BOX 20 - HOME »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCZMaYLiS3LQ7r_Q_RINUdfARlBQ11zDrUFq5m98lcv-ic?e=VHeIEF
8,Bibliothèque,Installation,Systèmes,BOX 30,1552,OUI,fiche portail « BOX 30 »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQATve0-gIrMR6cSuwPY62wbAQH4zaG43qBz5yAsuD7jM0E?e=JdnAZH
8,Bibliothèque,Installation,Systèmes,BOX 30,1552,OUI,fiche portail « BOX 30 »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDJLG-MrDD-QaXDFH4IZzawAWYaAjrUFQVajT9H2v89_V4?e=9jL4la
8,Bibliothèque,Installation,Systèmes,BOX 30,1552,OUI,fiche portail « BOX 30 »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBfX6aRmihgQYslBzykxdT-AXa8ClzVZFL-L9P5JLcUpfg?e=n3Lthn
9,Bibliothèque,Installation,Systèmes,BOX 80 / 120 / 150,1553,OUI,fiche portail « BOX 80/120/150 »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCcMCYSLBNCRKsb6YsIIXAcAaeniTn1x0w3E4LnjD_KWW4?e=9FJ1RM
9,Bibliothèque,Installation,Systèmes,BOX 80 / 120 / 150,1553,OUI,fiche portail « BOX 80/120/150 »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCZ2EoO5GDJT6_VRO9qHeNyAap0Dcu9dANOve-5hCyxQNI?e=sKPDYt
9,Bibliothèque,Installation,Systèmes,BOX 80 / 120 / 150,1553,OUI,fiche portail « BOX 80/120/150 »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQB6Mme_LpsASK0-Taf7Zpe2AZdm5tWQF6_mSU-1C9BKcIc?e=npZtyZ
10,Bibliothèque,Installation,Systèmes,BOX avec recirculation,1554,OUI,fiche portail « BOX avec recirculation »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBNFA7l24jFRaeKtQR_bma9AUSfACr597BxPF5CbzIlOrg?e=X4PJTs
10,Bibliothèque,Installation,Systèmes,BOX avec recirculation,1554,OUI,fiche portail « BOX avec recirculation »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAhxI7zDoeMQpmcAitLI1szARLBPFTmloNVPG1A8aU7rwU?e=80iyMl
10,Bibliothèque,Installation,Systèmes,BOX avec recirculation,1554,OUI,fiche portail « BOX avec recirculation »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCwjvR8CxiRTIoVE-dl_O6FAT0Q8CdllaTEv58ZNWbPu2A?e=64CRjk
11,Bibliothèque,Installation,Kits,Kit Mullex,1555,OUI,fiche portail « KIT MULLEX »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAvjD5dL4SmTYY0fuAC65r5ARdhPlmRH3Ktc_SSOx-b9w8?e=m5HgD7
11,Bibliothèque,Installation,Kits,Kit Mullex,1555,OUI,fiche portail « KIT MULLEX »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCO1nVGOTgyS7fJZzzFOkZIAeZDaa6XqPWvrT8FhD6ibCU?e=HTfDLN
