n,zone,section,groupe,document,ligne_index_html,equivalent_hub,detail_equivalent,langue,url
25,Bibliothèque,Configuration,Configuration,Configuration Be Connect,1580,NON,fiche « Configuration BE CONNECT » vide (titre seul),FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCDzgpSk_RFRbrBwHnVSocsAYJCvojVvtd2v5kJTZGcROY?e=n9gMpn
25,Bibliothèque,Configuration,Configuration,Configuration Be Connect,1580,NON,fiche « Configuration BE CONNECT » vide (titre seul),EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDspvGqO6nwS6FkWN231pRpAZTWVg1dUsIv0D8kYBCJNuo?e=E2vCgz
25,Bibliothèque,Configuration,Configuration,Configuration Be Connect,1580,NON,fiche « Configuration BE CONNECT » vide (titre seul),DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBpuRfEUQZjR5RiI8Nf5Ii-AXTXTQ6I2dFuO5ZRq9BPtx0?e=Do82GP
26,Bibliothèque,Configuration,Configuration,Configuration doses BAR 2,1583,OUI,fiche portail « Configuration des doses BAR 2 »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCB27n1VbnWSa8MjRwGyC5XAZQzVW_IDcZjhKDi8GzkU30?e=v6UPlP
26,Bibliothèque,Configuration,Configuration,Configuration doses BAR 2,1583,OUI,fiche portail « Configuration des doses BAR 2 »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBGxgNLOIbfR5D6QK7DEaoJAQeUBWG3Q1-HnAheGMV8c_I?e=zfbGAw
26,Bibliothèque,Configuration,Configuration,Configuration doses BAR 2,1583,OUI,fiche portail « Configuration des doses BAR 2 »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBW1y0PO-6uSqxTBNDcJ1pCAU1HV8A0QkH8tTg9sWjnxvM?e=N7lSHI
27,Documentation → Mesures produits,Documents d’origine,MEASURES,Mesures BOX,2832,OUI,tuiles PRODUCT_DIMS — 7 BOX cotés dans la page,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDaiIYOpP25So6iYi5uZHy1AUyv6xZRp5GYTLZwFqjqMok?e=M6JNWO
27,Documentation → Mesures produits,Documents d’origine,MEASURES,Mesures BOX,2832,OUI,tuiles PRODUCT_DIMS — 7 BOX cotés dans la page,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDRiHpDVqDvSqUcLWZzRUQUAW6B5mUyyrWEqj82OhRoJPs?e=acnrCp
27,Documentation → Mesures produits,Documents d’origine,MEASURES,Mesures BOX,2832,OUI,tuiles PRODUCT_DIMS — 7 BOX cotés dans la page,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCPDEn3j3u7RYQqrMy2DtUjAelQaXTh9Tmq5tEXeh9Aw-I?e=ugeS1b
28,Documentation → Mesures produits,Documents d’origine,MEASURES,Mesures TAP,2832,OUI,tuiles PRODUCT_DIMS — 11 TAP cotés dans la page,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQD0RT9ENPeiSL6x_gubVGXhAQAqQgjkfeHz1gX2XiDlwk4?e=61YKIL
28,Documentation → Mesures produits,Documents d’origine,MEASURES,Mesures TAP,2832,OUI,tuiles PRODUCT_DIMS — 11 TAP cotés dans la page,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDvr0xCHJtsQ42GHnGHvH6VASCNCLDHE_uZOeygAJAvI9Y?e=yfyt1s
28,Documentation → Mesures produits,Documents d’origine,MEASURES,Mesures TAP,2832,OUI,tuiles PRODUCT_DIMS — 11 TAP cotés dans la page,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCcB4h02w43RJv5gAN5Ag2XAbczx-fVPKdRh1ulN3ImViA?e=5HzytU
29,Documentation → Mesures produits,Documents d’origine,MEASURES,Mesures bouteilles CO₂ (par pays),2832,OUI,fiche portail « Mesures bouteilles CO2 (par pays) »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAXZNWkyXQtTZcnSGyLVXUWAbwZTmXn7NM-6FN6hbzV80g?e=DfCeE1
29,Documentation → Mesures produits,Documents d’origine,MEASURES,Mesures bouteilles CO₂ (par pays),2832,OUI,fiche portail « Mesures bouteilles CO2 (par pays) »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQBANxlVjYq1RJW-jDevCC6pAc2E-nvlLGUwXeUeDIhYpTI?e=KisP1T
29,Documentation → Mesures produits,Documents d’origine,MEASURES,Mesures bouteilles CO₂ (par pays),2832,OUI,fiche portail « Mesures bouteilles CO2 (par pays) »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQAqKetdrWpJSboTAkie_ALbAXta5QTrr1zh4VUGX1hUop4?e=JoXZc9
30,Documentation → Mesures produits,Documents d’origine,MEASURES,Visite technique B2C — BOX 20 + Mullex,2832,OUI,fiche portail « Visite technique B2C — BOX 20 + Mullex »,FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDkPbqm87deRozFSqjNgzyhAaUayx72xOyJ8uyd7OjufuI?e=SS43cD
30,Documentation → Mesures produits,Documents d’origine,MEASURES,Visite technique B2C — BOX 20 + Mullex,2832,OUI,fiche portail « Visite technique B2C — BOX 20 + Mullex »,EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDufTQiILEWTLNZJcyGILQeAaykC4zEZverTmoAGf8UH7s?e=bswFy9
30,Documentation → Mesures produits,Documents d’origine,MEASURES,Visite technique B2C — BOX 20 + Mullex,2832,OUI,fiche portail « Visite technique B2C — BOX 20 + Mullex »,DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQC_XxBVA0bAQ4Lg7jzPvekjAavZuS_E2sLdgg9czAaHQnc?e=joOUEv
31,Expérience client & remise,Mémo,s7.body,"Le mémo d’origine, en PDF",1641,OUI,mémo réécrit dans le hub (6 cartes),FR,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCBT_PG93V6Sq7xNOALzpOHATaueEaoRsBlXQ4oJZqxO-s?e=eZg5Q0
31,Expérience client & remise,Mémo,s7.body,"Le mémo d’origine, en PDF",1641,OUI,mémo réécrit dans le hub (6 cartes),EN,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQDJbZgdQVnKTom-Vqvj29EmAXrho-taCLUdUtgSAWPQUwQ?e=5wjuBn
31,Expérience client & remise,Mémo,s7.body,"Le mémo d’origine, en PDF",1641,OUI,mémo réécrit dans le hub (6 cartes),DE,https://bewtradmin-my.sharepoint.com/:b:/g/personal/charles_epert_bewtradmin_onmicrosoft_com/IQCemSw6LydzSZQgrAV9uyvZAffRKooUvRPfVYnVlTM-GxY?e=X77h3E
