sku_bw,designation,machines,fournisseur,ref_fournisseur,designation_fournisseur,prix_catalogue,devise,remise
BW-0342,AQTiV ONE - Drip tray grid,AQTiV ONE,Superinox,,,,,
BW-0343,Fixation set AQTiV ONE,AQTiV ONE,Superinox,,,,,
BW-0344,Fixation set AQTiV COMBI,AQTiV COMBI,Superinox,,,,,
BW-0345,Gearbox,AQTiV COMBI; AQTiV ONE,Superinox,R040044S-022,,,,
BW-0346,Gearbox nozzle,AQTiV COMBI; AQTiV ONE,Superinox,,,,,
BW-0347,Gearbox aerator,AQTiV COMBI; AQTiV ONE,Superinox,,,,,
BW-0348,NBR O-ring,AQTiV COMBI,Neoperl,55121110000,,,,
BW-0349,Honeycomb plastic aerator with O-ring,AQTiV COMBI,Superinox,R014010S-000,,,,
BW-0366,PCB Control board 30E - B,BOX 30E,Borg&Overström,720260,,169.0,CHF,
BW-0367,BAR2 – Button switch,BAR2 Double,Blupura,810439,,,,
BW-0368,BAR2 – Counter gasket,BAR2 Double; BAR2 Touchless,Blupura,140564,,,,
BW-0369,BAR2 – Fixing plate,BAR2 Double; BAR2 Touchless,Blupura,111012,,,,
BW-0370,BAR2 – Fixing nut 1 ½” G,BAR2 Double; BAR2 Touchless,Blupura,130200,,,,
BW-0371,BAR2 – Power cable EU,BAR2 Double,Blupura,150074,,,,
BW-0372,BAR2 - Driptray drain connection,BAR2 Double; BAR2 Touchless,Blupura,140366,,,,
BW-0373,BAR2 – Front glass,BAR2 Double; BAR2 Touchless,Blupura,140816,,,,
BW-0374,BAR2 – Bottle guides,BAR2 Double; BAR2 Touchless,Blupura,110375,,,,
BW-0375,BAR2 – Spring breaker,BAR2 Double; BAR2 Touchless,Blupura,110445,,,,
BW-0376,BAR2 – UVC out,BAR2 Double,Blupura,810618,,,,
BW-0377,BAR2 – SPRK button 7mm,BAR2 Double,Blupura,810697,,,,
BW-0378,BAR2 – STLL button 7mm,BAR2 Double,Blupura,810698,,,,
BW-0379,BAR2 -  STLL button 10mm,BAR2 Double,Blupura,810696,,,,
BW-0380,BAR2 – SPRK button 10mm,BAR2 Double,Blupura,810695,,,,
BW-0381,BAR2 – Solenoid valve,BAR2 Double; BAR2 Touchless,Blupura,150356,,,,
BW-0382,BAR2 – Cap ring nut,BAR2 Double; BAR2 Touchless,Blupura,110274,,,,
BW-0383,BAR2 – LED holder,BAR2 Double; BAR2 Touchless,Blupura,140251,,,,
BW-0384,BAR2 – Exit valves bracket,BAR2 Double; BAR2 Touchless,Blupura,111011,,,,
BW-0385,Flow compensator 8mm,BAR2 Double,Blupura,140194,,,,
BW-0386,BAR2 – Rear casing,BAR2 Double; BAR2 Touchless,Blupura,110974,,,,
BW-0387,BAR2 -  LED feeder,BAR2 Double; BAR2 Touchless,Blupura,810134,,,,
BW-0388,BAR2 – Die-cut evilene protection,BAR2 Double,Blupura,160674,,,,
BW-0389,BAR2 – UV LED control board,BAR2 Double,Blupura,150708,,,,
BW-0390,BAR2 – UV board support bracket,BAR2 Double,Blupura,111420,,,,
BW-0391,Screwless cable tie,BOX 150; BAR2 Double; BAR2 Touchless,Blupura,150011,,,,
BW-0396,BAR2 - Touchfree button,BAR2 Touchless,Blupura,150146,,,,
BW-0397,BAR2 - STLL touchfree,BAR2 Touchless,Blupura,810602,,,,
BW-0398,BAR2 - SPRK touchfree,BAR2 Touchless,Blupura,810601,,,,
BW-0399,BAR2 - Front glass (touchless),BAR2 Touchless,Blupura,140846,,,,
BW-0400,BAR2 - Nut cover nozzle,BAR2 Touchless,Blupura,110274,,,,
BW-0401,BAR2 - Rear carter (touchless),BAR2 Touchless,Blupura,111110,,,,
BW-0402,BAR2 - Solenoid bracket,BAR2 Touchless,Blupura,111137,,,,
BW-0403,BAR2 - Inverter UV,BAR2 Touchless,Blupura,150205,,,,
BW-0404,BAR2 - Touchfree button switch,BAR2 Touchless,Blupura,150250,,,,
BW-0405,BAR2 - Touchfree sensor,BAR2 Touchless,Blupura,150788,,,,
BW-0406,BAR2 - BTG protection,BAR2 Touchless,Blupura,160674,,,,
BW-0408,BAR2 - Transformer,BAR2 Touchless,Blupura,150071,,,,
BW-0409,BAR2 - Inverter 3UV,BAR2 Touchless,Blupura,150204,,,,
BW-0416,Bracket for Immersion Pump,BOX 80; BOX 150,Blupura,110264,,,,
BW-0417,Motor for pump 100L/h,BOX 80,Blupura,130048A,,,,
BW-0418,Carbonator bracket,BOX 80; BOX 150,Blupura,110103,,,,
BW-0419,Cover box 80,BOX 80,Blupura,110138,,,,
BW-0420,Casing box 80,BOX 80,Blupura,110137,,,,
BW-0421,Foot pvc,BOX 80,Blupura,140118,,,,
BW-0422,Front panel,BOX 80,Blupura,810646,,,,
BW-0423,Power cord,BOX 80,Blupura,150087,,,,
BW-0424,Bulkhead 8 mm,BOX 80,Blupura,140099,,,,
BW-0425,Iec socket,BOX 80,Blupura,150094,,,,
BW-0426,General power switch,BOX 80,Blupura,150072,,,,
BW-0427,Plastic plug,BOX 80; BOX 150,Blupura,150051,,,,
BW-0428,Spring type cable grand,BOX 80; BOX 150,Blupura,150052,,,,
BW-0429,Ice bank overflow kit,BOX 80; BOX 150,Blupura,750019,,,,
BW-0430,BOX 15 - Base,BOX 15,Blupura,140511,,,,
BW-0431,BOX 15 - Front paneL,BOX 15,Blupura,810645,,,,
BW-0432,Bulkhead 1/4 mm,BOX 15,Blupura,140296,,,,
BW-0433,BOX 15 - Bore cap,BOX 15,Blupura,140845,,,,
BW-0434,BOX 15 - Main support,BOX 15,Blupura,140512,,,,
BW-0435,BOX 15 - Left panel,BOX 15,Blupura,140561,,,,
BW-0436,BOX 15 - Top cover,BOX 15,Blupura,110954,,,,
BW-0437,BOX 15 - Tank support,BOX 15,Blupura,140528,,,,
BW-0438,BOX 15 - Back panel,BOX 15,Blupura,140521,,,,
BW-0439,Power switch,BOX 150; BOX 15,Blupura,150157,,,,
BW-0440,BOX 15 - Right panel,BOX 15,Blupura,140562,,,,
