sku_bw,designation,machines,fournisseur,ref_fournisseur,designation_fournisseur,prix_catalogue,devise,remise
BW-1056,Electronic control board - LIV-IBM6,BOX 120 I,Italbedis,450051,SCHEDA ELETTRONICA AI120 - LIV-IBM6,68.64,EUR,0.6
BW-1057,"Tank, complete",BOX 120 I,Italbedis,201040,VASCA ICE 120 2018 COMPL.,93.6,EUR,0.6
BW-1058,Stainless-steel base,BOX 120 I,Italbedis,102063,BASAMENTO INOX ICE 120 2018,120.0,EUR,0.6
BW-1059,Stainless-steel top cover / lid,BOX 120 I,Italbedis,103089,COPERCHIO INOX ICE 120 2018,50.0,EUR,0.6
BW-1060,"Stainless-steel side panel, right",BOX 120 I,Italbedis,103090,PARATIA DX INOX ICE 120 2018,50.0,EUR,0.6
BW-1061,"Stainless-steel side panel, left",BOX 120 I,Italbedis,103091,PARATIA SX INOX ICE 120 2018,50.0,EUR,0.6
BW-1062,Motor bracket,BOX 120 I,Italbedis,103092,STAFFA MOTORE ICE 120 2018,22.0,EUR,0.6
BW-1063,"Evaporator, complete",BOX 120 I,Italbedis,810087,EVAPORATORE AI 120 COMP,120.0,EUR,0.6
BW-1064,"Cooling coil, complete",BOX 120 I,Italbedis,810093,SERPENTINA AI 120 COMP,80.0,EUR,0.6
BW-1065,Rubber cable grommet Ø23,BOX 120 I,Italbedis,490027,ANELLO PASSAFILO IN GOMMA D23,0.8,EUR,0.6
BW-1066,Time-delay fuse 10 A,BOX 120 I,Italbedis,485029,FUSIBILE RITARDATO 10 A,0.42,EUR,0.6
BW-1067,Reopenable cable tie (for panel hole),BOX 120 I,Italbedis,650009,FASCETTA RIAPRIBILE PER FORO,0.7,EUR,0.6
BW-1068,Carb level probe,BOX 30E; BOX 30,Borg&Overström,701157,,,,
BW-1069,Temp probe,BOX 30E; BOX 30,Borg&Overström,720023,,,,
BW-1070,U2 Tap Twin Port 285 mm - Mounting Gasket 35 mm,BAR1,Borg&Overström,604022,,,,
BW-1071,Recirculation pump 230 V,BOX 80,Blupura,810327,,,,
BW-1072,Stainless-steel tank,BOX 20,Italbedis,150030,VASCA INOX PLUS,290.0,EUR,0.6
BW-1073,Axial fan 120x120x25,BOX 20,Italbedis,404008,VENTILATORE ASSIALE 120X120X25,27.04,EUR,0.6
